"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that PATCH /centers/rating requires authentication.","6","test_update_center_rating_requires_authentication","tests","2026-09-04","passed","2026-09-04","","test_center_api","",""
"Complaints filtered by sender id must return 200 with a JSON list.","95","Complaint-API-04: GET /complaints/sender/{id} returns 200 with a list","tests","2026-09-04","passed","2026-09-04","","test_complaint_api","",""
"Verify updating challenge preview using PATCH.","3416","Verify update_challenge_preview for role: admin","tests","2026-09-04","passed","2026-09-04","TestChallengeApi","test_api_challenge_client","",""
"An anonymous caller must not be able to create a complaint (401).","31","Complaint-API-10: POST /complaint requires authentication (401)","tests","2026-09-04","passed","2026-09-04","","test_complaint_api","",""
"Verify getting all challenges for all roles.","2764","Verify get_all_challenges method","tests","2026-09-04","passed","2026-09-04","TestChallengeApi","test_api_challenge_client","",""
"","1186","TC-08: News card displays information in fields.","tests","2026-09-04","passed","2026-09-04","","test_news_display_08","",""
"Returning the authenticated_driver fixture leaves the session active.

    The fixture signs in via the /api/signin endpoint and injects the issued
    tokens, so the header must report the user as logged in.
    ","553","test_user_is_signed_in_after_api_fixture","tests","2026-09-04","passed","2026-09-04","","test_sign_in","",""
"Verify deleting/archiving a challenge.","14","Verify delete_challenge for role: unauthorized","tests","2026-09-04","passed","2026-09-04","TestChallengeApi","test_api_challenge_client","",""
"The public complaints list must return a 200 response with a JSON list.","84","Complaint-API-01: GET /complaints returns 200 with a complaint list","tests","2026-09-04","passed","2026-09-04","","test_complaint_api","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","1643","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-09-04","passed","2026-09-04","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","3843","TC-4: Registration — required field 'Прізвище' left empty","tests","2026-09-04","passed","2026-09-04","","test_registration_required_field","",""
"The current-news endpoint must return 200 with a JSON list.","9","News-API-02: GET /newslist/current returns 200 with current news","tests","2026-09-04","passed","2026-09-04","","test_news_api","",""
