"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Add Club modal","0","0","TC-60: Auto-assign 'Доступний онлайн' when no location is added","0"
"0","","0","Add Club modal","1","0","TC-37: Checking the structure of 'Основна інформація' step","0"
"0","","0","Update personal information","1","0","","0"
"0","","0","Challenge","5","0","","0"
"9","","0","","6","0","","0"
"0","News","0","News navigation","1","0","","0"
"0","","0","Language Marathon","1","0","","0"
"0","","0","News Page","1","0","","0"
"0","","0","Clubs","1","0","Advanced club search sorting","0"
"0","WayForPay","0","Payment page","1","0","","0"
