"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify webinar video blocks, playback and YouTube links.","32925","TC-63 Verify video blocks playback and YouTube links on the challenge page","tests","2026-08-25","broken","2026-08-25","","test_challenge_page_video_blocks","",""
"","4615","TC-55 Registration — phone format — Реєстрація modal (invalid phone format).","tests","2026-08-25","passed","2026-08-25","","test_sign_up","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","142","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-08-25","broken","2026-08-25","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
"Verify that entering an invalid password displays the correct validation error.","7713","TC-53 Verify registration password policy validation [Missing letters/digits]","tests","2026-08-25","failed","2026-08-25","","test_sign_up","",""
"","2315","TC-31 Login — wrong password — Вхід modal (confirmed account).","tests","2026-08-25","passed","2026-08-25","","test_signin_neg_31","",""
"Verify challenge and event banner navigation on the homepage.","5959","TC-50 Verify challenge and event banner navigation on the homepage","tests","2026-08-25","passed","2026-08-25","","test_home_page","",""
"Verify that login with a non-existent email is rejected with an error, keeping the user unauthenticated and the modal open.","2930","TC-32: Login — non-existent email — Вхід modal (unknown user)","tests","2026-08-25","passed","2026-08-25","","test_login_non_existent_email","",""
"Verify successful registration with email confirmation (TC-2 and TC-3).","17372","TC-3 Verify successful manager registration with email confirmation","tests","2026-08-25","passed","2026-08-25","","test_sign_up","",""
"","1017","TC-08: News card displays information in fields.","tests","2026-08-25","passed","2026-08-25","","test_news_display_08","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","154","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-08-25","broken","2026-08-25","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
"Verify that the 'Зареєструватись' button is visible and enabled, opens the registration page, supports browser back navigation, and the registration page is accessible directly.","4046","TC-13: 'Зареєструватись' CTA opens registration page","tests","2026-08-25","passed","2026-08-25","TestMarathonRegistrationCTA","test_marathon_registration_cta","",""
"","3291","TC-36: Validation check for required fields in the 'Основна інформація' step of the 'Додати гурток' modal form","tests","2026-08-25","passed","2026-08-25","","test_add_club_basic_info_validation","",""
"Test verifies that 'Записатися на гурток', 'Написати менеджеру', 'Залишити коментар', and 'Відповісти' are unavailable for unauthenticated users.","7684","TC-15: Verify unauthorized user cannot use restricted club actions","tests","2026-08-25","passed","2026-08-25","","test_club_actions_unauthorized","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","4488","TC-4: Registration — required field 'Прізвище' left empty","tests","2026-08-25","passed","2026-08-25","","test_registration_required_field","",""
"Verify that an authenticated user can successfully fill out the 'Add Center' modal and reach the final step to submit the center.","16616","TC-58: Center creation functionality","tests","2026-08-25","failed","2026-08-25","","test_add_center","",""
"Verify opening another news article from the 'Інші новини' section.","8278","test_news_details_other_news_navigation","tests","2026-08-25","passed","2026-08-25","","test_news_details_other_news_navigation","",""
"Ensure both user and manager credentials are present in the environment.","0","test_user_and_manager_credentials_are_configured","tests","2026-08-25","passed","2026-08-25","","test_driver_roles","",""
"The manager driver boots a session with the manager API credentials.

    Args:
        authenticated_manager_driver: Browser signed in as the manager credentials.
        manager_session_driver: The API session issued for the manager credentials.
    ","254","test_authenticated_manager_driver_returns_manager_session","tests","2026-08-25","passed","2026-08-25","","test_driver_roles","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","128","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-08-25","broken","2026-08-25","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
"Verify that entering an invalid password displays the correct validation error.","6534","TC-53 Verify registration password policy validation [Contains Cyrillic]","tests","2026-08-25","failed","2026-08-25","","test_sign_up","",""
"Test verifies that the YouTube icon on the news details page opens the project's official YouTube page in a new browser tab.","6530","TC-43: Verify YouTube social media link functionality","tests","2026-08-25","passed","2026-08-25","","test_social_buttons_ui","",""
"Verify that clicking the 'Новини' menu item in the header navigates the user to the News page with valid URL, title, and article list.","1187","TC-06: Verify that the News page opens","tests","2026-08-25","passed","2026-08-25","TestNewsPage","test_news_page_opens","",""
"","4104","TC-55 Registration — phone format — Реєстрація modal (invalid phone format).","tests","2026-08-25","passed","2026-08-25","","test_sign_up","",""
"Verify that an authenticated user can submit a complaint about a club.

    Args:
        authenticated_driver: Browser already signed in via the API fixture.
    ","16787","test_tc_20_authenticated_user_can_submit_complaint","tests","2026-08-25","broken","2026-08-25","","test_tc_20_complaint_submission","",""
"Verify homepage hero carousel navigation and its slide redirects.","4101","test_homepage_carousel_navigation","tests","2026-08-25","broken","2026-08-25","","test_home_carousel_navigation","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","121","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-08-25","broken","2026-08-25","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","2464","TC-4: Registration — required field 'Підтвердження паролю' left empty","tests","2026-08-25","passed","2026-08-25","","test_registration_required_field","",""
"Verify that entering an invalid email format in the 'Реєстрація' modal displays the validation error 'Некоректний формат email' and keeps the 'Зареєструватися' button enabled.","3265","TC-54: Verify registration with invalid email format","tests","2026-08-25","passed","2026-08-25","","test_sign_up","",""
"Test verifies that the 'Наші контакти' block is displayed on the news page, has the correct title, and contains all required social media icons: Facebook, YouTube, Instagram, and Mail.","3734","TC-28: Verify 'Наші контакти' section display","tests","2026-08-25","passed","2026-08-25","","test_social_buttons_ui","",""
"Verify that entering an invalid password displays the correct validation error.","5931","TC-53 Verify registration password policy validation [Missing uppercase]","tests","2026-08-25","failed","2026-08-25","","test_sign_up","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","4027","TC-4: Registration — required field 'Телефон' left empty","tests","2026-08-25","passed","2026-08-25","","test_registration_required_field","",""
"","4607","TC-55 Registration — phone format — Реєстрація modal (invalid phone format).","tests","2026-08-25","passed","2026-08-25","","test_sign_up","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","3332","TC-4: Registration — required field 'Пароль' left empty","tests","2026-08-25","passed","2026-08-25","","test_registration_required_field","",""
"Verify that entering an invalid password displays the correct validation error.","5815","TC-53 Verify registration password policy validation [Length > 20]","tests","2026-08-25","failed","2026-08-25","","test_sign_up","",""
"Verify navigation to the registration form for the 'Розмовляй' challenge.","3364","TC-65 User can register for the “Клуб української мови ""Розмовляй"" challenge","tests","2026-08-25","broken","2026-08-25","","test_tc_65_challenge_registration_navigation","",""
"Test verifies that the Facebook icon on the news details page opens the project's official Facebook page in a new browser tab.","5878","TC-42: Verify Facebook social media link functionality","tests","2026-08-25","passed","2026-08-25","","test_social_buttons_ui","",""
"Verify that invalid search queries return no matching clubs.","8289","test_tc_51_club_search_negative","tests","2026-08-25","passed","2026-08-25","","test_51_club_search_negative","",""
"Verify that entering an invalid password displays the correct validation error.","8069","TC-53 Verify registration password policy validation [Length < 8]","tests","2026-08-25","passed","2026-08-25","","test_sign_up","",""
"Verify that users can navigate through the 30 language marathon tasks using next/previous arrows and pagination dots.","2696","TC-11: Task carousel navigation via arrows and pagination dots","tests","2026-08-25","passed","2026-08-25","TestMarathonTaskCarousel","test_marathon_task_carousel_navigation","",""
"The user driver boots the SPA with the regular-user API session.

    Args:
        authenticated_driver: Browser signed in with the user credentials.
        session_driver: The API session issued for the user credentials.
    ","209","test_authenticated_driver_returns_user_session","tests","2026-08-25","passed","2026-08-25","","test_driver_roles","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","134","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-08-25","broken","2026-08-25","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
