"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-60: verify ""Доступний онлайн"" auto-toggles on when no location is added.

    Preconditions covered inline (per TC-60):
        - User is authenticated (via `authenticated_driver`).
        - ""Додати гурток"" modal is opened through the header user menu.
        - Step ""Основна інформація"" is completed.

    NOTE: the info message (""Ви не додали жодної локації, гурток автоматично
    є онлайн"") renders as an antd `ant-message` toast at the top of the
    modal, so it's checked via `DescriptionStep.is_toast_displayed()` /
    `.get_toast_text()`, which already exist in the codebase. Since toasts
    can be transient, the check happens immediately after `click_next()`.
    ","4384","test_online_status_auto_assigned_when_no_location","tests","2026-08-15","failed","2026-08-15","","test_add_club_modal","",""
"Verify challenge and event banner navigation on the homepage.","8378","TC-50 Verify challenge and event banner navigation on the homepage","tests","2026-08-15","passed","2026-08-15","","test_home_page","",""
"Verify opening another news article from the 'Інші новини' section.","10819","test_news_details_other_news_navigation","tests","2026-08-15","passed","2026-08-15","","test_news_details_other_news_navigation","",""
"Verify that entering an invalid password displays the correct validation error.","5159","TC-53 Verify registration password policy validation [Missing letters/digits]","tests","2026-08-15","failed","2026-08-15","","test_sign_up","",""
"Verify that entering an invalid password displays the correct validation error.","7382","TC-53 Verify registration password policy validation [Length < 8]","tests","2026-08-15","passed","2026-08-15","","test_sign_up","",""
"Returning the authenticated_driver fixture leaves the session active.

    The fixture signs in via the /api/signin endpoint and injects the issued
    tokens, so the header must report the user as logged in.
    ","136","test_user_is_signed_in_after_api_fixture","tests","2026-08-15","passed","2026-08-15","","test_sign_in","",""
"Verify that entering an invalid password displays the correct validation error.","6743","TC-53 Verify registration password policy validation [Missing letters/special]","tests","2026-08-15","failed","2026-08-15","","test_sign_up","",""
"Verify that entering an invalid password displays the correct validation error.","6957","TC-53 Verify registration password policy validation [Length > 20]","tests","2026-08-15","failed","2026-08-15","","test_sign_up","",""
"Verify title, amount, currency, express pay buttons, card form fields and submit button.","4447","TC-48: Verify payment page UI elements are displayed correctly","tests","2026-08-15","passed","2026-08-15","TestPaymentPageUI","test_payment_page_ui","",""
"Verify homepage hero carousel navigation and its slide redirects.","6718","test_homepage_carousel_navigation","tests","2026-08-15","passed","2026-08-15","","test_home_carousel_navigation","",""
"Verify that entering an invalid password displays the correct validation error.","5752","TC-53 Verify registration password policy validation [Missing uppercase]","tests","2026-08-15","failed","2026-08-15","","test_sign_up","",""
"Verify webinar video blocks, playback and YouTube links.","33713","TC-63 Verify video blocks playback and YouTube links on the challenge page","tests","2026-08-15","broken","2026-08-15","","test_challenge_page_video_blocks","",""
"Test verifies that the 'Наші контакти' block is displayed on the news page, has the correct title, and contains all required social media icons: Facebook, YouTube, Instagram, and Mail.","2837","TC-28: Verify 'Наші контакти' section display","tests","2026-08-15","passed","2026-08-15","","test_social_buttons_ui","",""
"Verify opening a news article from the list and returning back to the News page.","6927","TC-07: Navigation to the News details page","tests","2026-08-15","passed","2026-08-15","TestNewsDetailsNavigation","test_news_details_navigation","",""
"Verify that entering an invalid password displays the correct validation error.","6472","TC-53 Verify registration password policy validation [Missing lowercase]","tests","2026-08-15","failed","2026-08-15","","test_sign_up","",""
"Verify that entering an invalid password displays the correct validation error.","5636","TC-53 Verify registration password policy validation [Contains Cyrillic]","tests","2026-08-15","failed","2026-08-15","","test_sign_up","",""
"Verify navigation from the homepage to the Clubs page via the 'Всі гуртки' button and individual club category cards ('Спортивні секції', 'Танці, хореографія', 'Студії раннього розвитку').","11021","TC-38: Verify navigation to the Clubs page from the homepage","tests","2026-08-15","passed","2026-08-15","TestHomePageClubsNavigation","test_home_page_clubs_navigation","",""
"Verify that clicking the 'Новини' menu item in the header navigates the user to the News page with valid URL, title, and article list.","1374","TC-06: Verify that the News page opens","tests","2026-08-15","passed","2026-08-15","TestNewsPage","test_news_page_opens","",""
