"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"19","","7","","44","0","","0"
"0","","0","Club Registration API","1","0","Get User Applications","0"
"0","","0","Successful Payment","1","0","","0"
"1","","0","News","0","0","","0"
"1","","0","Fixtures","1","0","Authenticated driver roles","0"
"1","Clubs","0","Club Comments","0","0","TC-20: Authenticated user can submit a complaint","0"
"0","","0","Add Club modal","1","0","TC-59: Verify 'Назад' navigation and data persistence between sections","0"
"0","","0","Club Registration API","1","0","Register for Club — Schema Validation","0"
"2","","0","Challenge API - Lifecycle & CRUD","0","0","2. Get Challenge by ID","0"
"3","","0","Challenge API - Lifecycle & CRUD","0","0","1. Get All Challenges","0"
"0","","0","Login","1","0","","0"
"0","","0","Club Registration API","1","0","Register for Club — Negative","0"
"0","Center Management","1","Add Center","0","0","","0"
"0","","0","Club Registration API","1","0","Get User Applications — Schema Validation","0"
"0","","0","Add Club modal","1","0","TC-60: Auto-assign 'Доступний онлайн' when no location is added","0"
"0","","0","Club Registration API","1","0","Get User Children by Club","0"
"0","","0","Payment page","1","0","","0"
"0","","0","Club Registration API","1","0","Check Registration Status — Edge Cases","0"
"0","","0","Club Registration API","1","0","Check Registration Status","0"
"6","","0","Challenge","0","0","","0"
"4","","0","Clubs","0","0","Club search","0"
"0","","0","Registration","6","0","","0"
"0","","0","Language Marathon","2","0","","0"
"1","Profile","0","Profile Last Name Update","0","0","TC-61: Reject Last Name with invalid special characters","0"
"1","","0","News Page","0","0","","0"
"0","","0","Club Registration API","1","0","Get User Children by Club — Schema Validation","0"
"0","","1","Add Club modal","0","0","TC-37: Checking the structure of 'Основна інформація' step","0"
"1","","0","Clubs","0","0","Advanced club search sorting","0"
"0","","0","Update personal information","1","0","","0"
"0","","0","Add club basic info validation","1","0","","0"
"1","","0","Challenge","0","0","Speaking club challenge registration","0"
"0","","0","Fixtures","1","0","User vs manager credentials","0"
"1","","0","News navigation","0","0","","0"
"0","","0","Club Registration API","1","0","Register User for Club — Schema Validation","0"
"1","Profile","0","Profile Photo Upload","0","0","TC-62: Reject unsupported profile photo file format","0"
"0","","0","Club Registration API","1","0","Register for Club","0"
"0","","0","Home Page Navigation","1","0","","0"
"0","","0","Club Registration API","1","0","Register User for Club","0"
"1","","0","Clubs Catalog","0","0","","0"
