"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","6","","14","0","","0"
"0","","0","Challenge","5","0","","0"
"0","WayForPay","0","Payment page","1","0","","0"
"0","","0","Add Club modal","1","0","TC-37: Checking the structure of 'Основна інформація' step","0"
"1","","0","Clubs Catalog","0","0","","0"
"0","","0","News Page","1","0","","0"
"0","","0","Language Marathon","1","0","","0"
"1","","0","Update personal information","0","0","","0"
"0","","1","Add Club modal","0","0","TC-60: Auto-assign 'Доступний онлайн' when no location is added","0"
"0","Center Management","1","Add Center","0","0","","0"
"1","Profile","0","Profile Last Name Update","0","0","TC-61: Reject Last Name with invalid special characters","0"
"1","Profile","0","Profile Photo Upload","0","0","TC-62: Reject unsupported profile photo file format","0"
"1","","0","Clubs","0","0","Advanced club search sorting","0"
"0","News","0","News navigation","1","0","","0"
