"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","3","Clubs","1","0","Club search","0"
"0","","0","Update personal information","1","0","","0"
"3","","4","","30","0","","0"
"0","","0","News Page","1","0","","0"
"5","","0","Challenge","1","0","","0"
"0","","0","Home Page Navigation","1","0","","0"
"0","","0","Registration","6","0","","0"
"0","","0","Add club basic info validation","1","0","","0"
"0","WayForPay","0","Payment page","1","0","","0"
"0","","0","Fixtures","1","0","User vs manager credentials","0"
"0","","0","Language Marathon","2","0","","0"
"1","Profile","0","Profile Photo Upload","0","0","TC-62: Reject unsupported profile photo file format","0"
"0","","0","Clubs","1","0","Advanced club search sorting","0"
"0","","0","Add Club modal","1","0","TC-37: Checking the structure of 'Основна інформація' step","0"
"0","","0","Fixtures","2","0","Authenticated driver roles","0"
"1","","0","Challenge","0","0","Speaking club challenge registration","0"
"0","","0","Login","1","0","","0"
"0","Center Management","1","Add Center","0","0","","0"
"0","","0","Add Club modal","1","0","TC-59: Verify 'Назад' navigation and data persistence between sections","0"
"0","News","0","News navigation","1","0","","0"
"1","Clubs","0","Club Comments","0","0","TC-20: Authenticated user can submit a complaint","0"
"0","","0","Clubs Catalog","1","0","","0"
"1","Profile","0","Profile Last Name Update","0","0","TC-61: Reject Last Name with invalid special characters","0"
"0","","1","Add Club modal","0","0","TC-60: Auto-assign 'Доступний онлайн' when no location is added","0"
