"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"DELETE /complaint/{id} must succeed for an authenticated USER caller.

    The probe confirmed both USER and MANAGER can delete. The test creates
    a complaint, deletes it, then re-reads via the public list to confirm
    the row is gone.
    ","299","Complaint-API-16: USER DELETE /complaint/{id} returns 200 and removes the row","tests","2026-09-06","passed","2026-09-06","","test_complaint_api","",""
"Verify that GET /centers/{id} returns a paginated result.","51","test_get_centers_by_user_id_returns_success","tests","2026-09-06","passed","2026-09-06","","test_center_api","",""
"Verify successful retrieval of user information by ID.","106","Successful retrieval of user information by ID","tests","2026-09-06","passed","2026-09-06","","test_api_users","",""
"Verify GET /challenge-registration/unapproved/{managerId} returns an empty list.","115","Get unapproved registrations for a manager with none pending","tests","2026-09-06","passed","2026-09-06","","test_challenge_registration_get_response","",""
"Verify Role-Based Access Control: Guests cannot create categories.","47","Category-API-04: POST /category returns 401 for unauthenticated users","tests.api","2026-09-06","passed","2026-09-06","TestCategoriesSecurity","test_categories","",""
"Verify getting a challenge by ID.","624","Verify get_challenge_by_id method","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify that guests cannot delete location.","49","Location-API-06: DELETE /location/{id} returns 401 for unauthenticated users","tests","2026-09-06","passed","2026-09-06","TestLocationSeс","test_location_api","",""
"An anonymous caller must not be able to update a complaint (401).","127","Complaint-API-11: PUT /complaint/{id} requires authentication (401)","tests","2026-09-06","passed","2026-09-06","","test_complaint_api","",""
"","4147","TC-55 Registration — phone format — Реєстрація modal (invalid phone format).","tests","2026-09-06","passed","2026-09-06","","test_sign_up","",""
"Verify that GET /center/{id} returns a center.","282","test_get_center_by_id_returns_success","tests","2026-09-06","passed","2026-09-06","","test_center_api","",""
"Test that non-existing registration returns false.","130","Verify non-registered pair returns false","tests","2026-09-06","passed","2026-09-06","TestClubRegistrationApi","test_club_registration_api","",""
"Verify that an authenticated user can submit a complaint about a club.

    Args:
        authenticated_driver: Browser already signed in via the API fixture.
    ","15009","test_tc_20_authenticated_user_can_submit_complaint","tests","2026-09-06","broken","2026-09-06","","test_tc_20_complaint_submission","",""
"Verify updating challenge preview using PATCH.","567","Verify update_challenge_preview for role: manager","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify GET /challenge-registration/{managerId} returns an empty list.","70","Get all registrations for a manager with none existing","tests","2026-09-06","passed","2026-09-06","","test_challenge_registration_get_response","",""
"Verify that PUT /center/{id} requires authentication.","108","test_update_center_requires_authentication","tests","2026-09-06","passed","2026-09-06","","test_center_api","",""
"Verify updating challenge start date.","610","Verify update_challenge_start_date for role: user","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify updating challenge start date.","625","Verify update_challenge_start_date for role: manager","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify that entering an invalid password displays the correct validation error.","4350","TC-53 Verify registration password policy validation [Length < 8]","tests","2026-09-06","passed","2026-09-06","","test_sign_up","",""
"Test verifies that the donation button is displayed, has the correct text and cursor, contains the expected WayForPay URL, and redirects to the payment page.","3225","TC-47: Verify 'Допомогти проєкту' button display, styling, and payment redirection","tests","2026-09-06","passed","2026-09-06","","test_social_buttons_ui","",""
"Verify successful login with valid user credentials.","553","Successful user login","tests","2026-09-06","passed","2026-09-06","","test_api_login","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","2185","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-09-06","passed","2026-09-06","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","3683","TC-4: Registration — required field 'Пароль' left empty","tests","2026-09-06","passed","2026-09-06","","test_registration_required_field","",""
"Test that registration with non-existent childId returns 404.","110","Verify non-existent child returns 404","tests","2026-09-06","passed","2026-09-06","TestClubRegistrationApi","test_club_registration_api","",""
"An anonymous caller must not be able to create a complaint (401).","125","Complaint-API-10: POST /complaint requires authentication (401)","tests","2026-09-06","passed","2026-09-06","","test_complaint_api","",""
"Verify getting a challenge by ID.","722","Verify get_challenge_by_id method","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify validation errors when submitting empty fields in the login modal.","3383","TC-33: Login — empty fields(required-field enforcement)","tests","2026-09-06","passed","2026-09-06","","test_sign_in","",""
"Verify that DELETE /center/{id} requires authentication.","50","test_delete_center_requires_authentication","tests","2026-09-06","passed","2026-09-06","","test_center_api","",""
"Verify Role-Based Access Control: Users and Managers get 403 Forbidden.","107","Category-API-07: POST /category returns 403 Forbidden for Manager","tests.api","2026-09-06","passed","2026-09-06","TestCategoriesSecurity","test_categories","",""
"","300","Verify get_user_applications returns 200 and valid list","tests","2026-09-06","passed","2026-09-06","TestClubRegistrationApi","test_club_registration_api","",""
"The similar-news endpoint must respond with 200 and valid JSON.","51","News-API-04: GET /newslist/search/similar returns 200","tests","2026-09-06","passed","2026-09-06","","test_news_api","",""
"Verify cloning a challenge.","555","Verify clone_challenge for role: admin","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Test strict Pydantic validation for user registration response.","142","Verify response schema matches ClubUserRegistrationResponseDto","tests","2026-09-06","passed","2026-09-06","TestClubRegistrationApi","test_club_registration_api","",""
"Verify creating a challenge for all roles.","651","Verify create_challenge for role: admin","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"TC-60: verify ""Доступний онлайн"" auto-toggles on when no location is added.

    Preconditions covered inline (per TC-60):
        - User is authenticated (via `authenticated_driver`).
        - ""Додати гурток"" modal is opened through the header user menu.
        - Step ""Основна інформація"" is completed.

    NOTE: the info message (""Ви не додали жодної локації, гурток автоматично
    є онлайн"") renders as an antd `ant-message` toast at the top of the
    modal. It's transient, so it's captured with a single explicit wait on
    `DescriptionStep.TOAST_TEXT` visibility, reading `.text` off the same
    element the wait returns — this avoids the race condition that occurred
    when `is_toast_displayed()` and `get_toast_text()` were called as two
    separate, sequential DOM lookups (the toast could disappear between them).
    ","3406","test_online_status_auto_assigned_when_no_location","tests","2026-09-06","passed","2026-09-06","","test_add_club_modal","",""
"Verify Role-Based Access Control: Users and Managers cannot delete categories.","124","Category-API-09: DELETE /category/{id} returns 403 Forbidden for Manager","tests.api","2026-09-06","passed","2026-09-06","TestCategoriesSecurity","test_categories","",""
"Verify opening a news article from the list and returning back to the News page.","3612","TC-07: Navigation to the News details page","tests","2026-09-06","passed","2026-09-06","","test_news_details_navigation","",""
"The public location list must return a 200 response with a JSON list.","1832","Location-API-01: GET /locations returns 200 OK and valid JSON list","tests","2026-09-06","passed","2026-09-06","TestLocationRead","test_location_api","",""
"Verify getting a challenge by ID.","160","Verify get_challenge_by_id method","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","3087","TC-4: Registration — required field 'Підтвердження паролю' left empty","tests","2026-09-06","passed","2026-09-06","","test_registration_required_field","",""
"Verify updating challenge start date.","486","Verify update_challenge_start_date for role: admin","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify title, amount, currency, express pay buttons, card form fields and submit button.","5511","TC-48: Verify payment page UI elements are displayed correctly","tests","2026-09-06","passed","2026-09-06","","test_payment_page_ui","",""
"","3373","TC-57 Registration — duplicate email (already-registered email)","tests","2026-09-06","passed","2026-09-06","","test_sign_up","",""
"Verify that opening a news card leads to the correct, fully rendered details page.","2691","TC-18: Opening a specific news article from the News page","tests","2026-09-06","failed","2026-09-06","","test_open_specific_news_article","",""
"Verify POST /challenge-registration/children creates a new registration for a child.","150","Create a challenge registration for a child","tests","2026-09-06","passed","2026-09-06","","test_challenge_registration_post_response","",""
"Verify navigation from the homepage to the Clubs page via the 'Всі гуртки' button and individual club category cards ('Спортивні секції', 'Танці, хореографія', 'Студії раннього розвитку').","6212","TC-38: Verify navigation to the Clubs page from the homepage","tests","2026-09-06","passed","2026-09-06","TestHomePageClubsNavigation","test_home_page_clubs_navigation","",""
"Verify Role-Based Access Control: Users and Managers get 403 Forbidden.","105","Category-API-07: POST /category returns 403 Forbidden for User","tests.api","2026-09-06","passed","2026-09-06","TestCategoriesSecurity","test_categories","",""
"Verify creating a challenge for all roles.","113","Verify create_challenge for role: unauthorized","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"An anonymous caller must not be able to delete a complaint (401).","113","Complaint-API-07: DELETE /complaint/{id} requires authentication (401)","tests","2026-09-06","passed","2026-09-06","","test_complaint_api","",""
"Verify that GET /centers returns a list of centers.","592","test_get_all_centers_returns_success","tests","2026-09-06","passed","2026-09-06","","test_center_api","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","1317","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-09-06","passed","2026-09-06","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
"Verify getting a challenge by ID.","680","Verify get_challenge_by_id method","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify deleting/archiving a challenge.","399","Verify delete_challenge for role: manager","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify getting all challenges for all roles.","446","Verify get_all_challenges method","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"The version endpoint must serve its payload as JSON.","113","API-03: /version uses JSON content type","tests","2026-09-06","passed","2026-09-06","TestVersionApi","test_version_api","",""
"The public version endpoint must return a 200 response with backend commit metadata.","106","API-01: /version returns 200 with backend commit metadata","tests","2026-09-06","passed","2026-09-06","TestVersionApi","test_version_api","",""
"Verify that entering an invalid password displays the correct validation error.","4314","TC-53 Verify registration password policy validation [Missing letters/digits]","tests","2026-09-06","failed","2026-09-06","","test_sign_up","",""
"Verify that guests cannot delete categories.","47","Category-API-06: DELETE /category/{id} returns 401 for unauthenticated users","tests.api","2026-09-06","passed","2026-09-06","TestCategoriesSecurity","test_categories","",""
"Test verifies that the email icon in the 'Наші контакти' section contains the correct project email address and uses a mailto link.","1266","TC-45: Verify email link functionality in contacts section","tests","2026-09-06","passed","2026-09-06","","test_social_buttons_ui","",""
"Verify that entering an invalid password displays the correct validation error.","4223","TC-53 Verify registration password policy validation [Length > 20]","tests","2026-09-06","failed","2026-09-06","","test_sign_up","",""
"Verify that GET /centers/clubs/{id} returns center clubs.","269","test_get_clubs_by_center_id_returns_success","tests","2026-09-06","passed","2026-09-06","","test_center_api","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","3886","TC-4: Registration — required field 'Прізвище' left empty","tests","2026-09-06","passed","2026-09-06","","test_registration_required_field","",""
"Verify opening another news article from the 'Інші новини' section.","3689","test_news_details_other_news_navigation","tests","2026-09-06","passed","2026-09-06","","test_news_details_other_news_navigation","",""
"","3477","TC-39 Verify header navigation links redirect to the correct pages.","tests","2026-09-06","passed","2026-09-06","","test_nav_39","",""
"Verify creating a challenge for all roles.","988","Verify create_challenge for role: manager","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify that login with a non-existent email is rejected with an error, keeping the user unauthenticated and the modal open.","2554","TC-32: Login — non-existent email — Вхід modal (unknown user)","tests","2026-09-06","passed","2026-09-06","","test_login_non_existent_email","",""
"Verify login fails when the user provides a wrong password.","315","Login with wrong password","tests","2026-09-06","passed","2026-09-06","","test_api_login","",""
"Verify Role-Based Access Control: Users and Managers cannot delete categories.","131","Category-API-09: DELETE /category/{id} returns 403 Forbidden for User","tests.api","2026-09-06","passed","2026-09-06","TestCategoriesSecurity","test_categories","",""
"Verify alphabetical sorting in the advanced club search.","13154","test_tc_52_advanced_club_search_sorting","tests","2026-09-06","failed","2026-09-06","","test_52_Advanced_club_search","",""
"Verify GET /challenge-registration/user-applications/{userId} returns the submitted application.","207","Get applications submitted by a user with an existing application","tests","2026-09-06","passed","2026-09-06","","test_challenge_registration_get_response","",""
"Verify that a specific category can be fetched by its ID.","49","Category-API-03: GET /category/{id} returns 200 OK for an existing category","tests.api","2026-09-06","passed","2026-09-06","TestCategoriesRead","test_categories","",""
"Verify that the 'Інші новини' carousel can be navigated via pagination dots.

    Steps:
        1. Open a news article and scroll down to the 'Інші новини' block.
        2. Confirm pagination dots are visible and the first dot is active.
        3. Click the second dot.
        4. Verify the active dot transferred to the second dot and the
           displayed news cards belong to group 2.
        5. Click another (non-adjacent) dot.
        6. Verify the active dot transferred to the clicked dot and only
           one dot is active at a time.
    ","3182","TC-25 Verify carousel pagination dots functionality","tests","2026-09-06","passed","2026-09-06","","test_tc_25_carousel_pagination_dots","",""
"A non-existent complaint id must yield a 404 response.","53","Complaint-API-06: GET /complaint/{id} returns 404 for a missing complaint","tests","2026-09-06","passed","2026-09-06","","test_complaint_api","",""
"Verify cloning a challenge.","412","Verify clone_challenge for role: user","tests","2026-09-06","passed","2026-09-06","TestChallengeApi","test_api_challenge_client","",""
"Verify PATCH /challenge-registration/cancel/{id} marks the registration as inactive.","167","Cancel an active registration","tests","2026-09-06","passed","2026-09-06","","test_challenge_registration_patch_response","",""
"A non-existent news id must yield a 404 response.","53","News-API-06: GET /news/{id} returns 404 for a missing article","tests","2026-09-06","passed","2026-09-06","","test_news_api","",""
"","3979","TC-56 Registration — password mismatch — Реєстрація modal (confirm ≠ password).","tests","2026-09-06","passed","2026-09-06","","test_sign_up","",""
"Verify that 'Інші новини' carousel can be navigated using arrows.","3666","TC-24 Verify carousel navigation using left and right arrows","tests","2026-09-06","passed","2026-09-06","","test_news_details","",""
"Verify successful registration with email confirmation (TC-2 and TC-3).","18579","TC-3 Verify successful manager registration with email confirmation","tests","2026-09-06","broken","2026-09-06","","test_sign_up","",""
